symbol
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
BRK-B
JPM
V
JNJ
WMT
PG
MA
UNH
HD
DIS
BAC
XOM
PFE
CSCO
ADBE
CRM
NFLX
INTC
CMCSA
VZ
T
ABT
MRK
KO
PEP
AVGO
COST
TMO
ABT
LLY
MCD
DHR
ACN
TXN
NEE
UNP
LIN
HON
QCOM
AMD
SBUX
LOW
BMY
AMGN
RTX
CVS
BLK
SPGI
ISRG
MDLZ
SYK
TJX
GE
BKNG
MMC
C
AXP
GILD
MMM
CVX
CI
MO
SO
ZTS
PLD
CB
REGN
DUK
SCHW
ICE
EOG
USB
PNC
CL
TGT
NSC
APD
ITW
FISV
MU
ADI
EQIX
CSX
CME
SHW
WM
AON
EL
GD
FCX
EMR
MCO
KLAC
PSA
HUM
ECL
GM
F
ATVI
MAR
DXCM
NOC
ROP
WELL
MCHP
ORLY
PAYX
CTAS
MSCI
KMB
VRSK
FAST
ODFL
BIIB
CPRT
EXC
EA
XEL
LRCX
EW
IDXX
VRSN
CTSH
ANSS
CDNS
SNPS
MNST
WLTW
TEAM
DLTR
CHTR
SGEN
ALGN
ILMN
MRNA
MRVL
ABMD
TTWO
SPLK
SWKS
TTD
PCAR
NTES
AZPN
WDC
FANG
STX
SIRI
FOX
FOXA
NLOK
JBHT
ULTA
HSIC
POOL
DPZ
LKQ
TECH
TYL
AKAM
PEAK
FFIV
HBAN
KEY
RF
CFG
CMA
ZION
FITB
WBS
PFG
L
GL
AFL
PGR
TRV
ALL
AIG
MET
PRU
AEP
D
EXC
XEL
SRE
PEG
ED
WEC
ES
DTE
EVRG
CMS
ATO
NJR
SWX
NWN
SR
OGE
UGI
NI
LNT
AEE
CNP
PNW
FE
ETR
AWK
AWR
MSEX
SJW
WTRG
YORW
CWT
ARTNA
ARTW
CTWS
CWCO
GWRS
MGEE
MSEX
NWE
NWPX
OTTR
PICO
SBS
YORW
