code,name,verdict,pe,pb,industry,source
CMG,Chipotle Mexican Grill,pass,30.247707,17.621593,other,yfinance
CB,Chubb Limited,pass,12.07917,1.8074269,other,yfinance
CHD,Church & Dwight,pass,32.742474,5.5401506,other,yfinance
CIEN,Ciena,pass,158.58609,23.447077,other,yfinance
CI,Cigna,borderline,11.988817,1.7473232,other,yfinance
CINF,Cincinnati Financial,pass,10.637714,1.8315084,financial,yfinance
CTAS,Cintas,pass,35.7463,14.124134,other,yfinance
CSCO,Cisco,pass,37.84566,9.49117,other,yfinance
C,Citigroup,borderline,17.504913,1.2696815,other,yfinance
CFG,Citizens Financial Group,borderline,16.689575,1.2470342,financial,yfinance
CLX,Clorox,pass,15.786991,-175.2527,other,yfinance
CME,CME Group,pass,18.650171,2.970927,other,yfinance
CMS,CMS Energy,pass,21.768156,2.6046994,energy,yfinance
KO,Coca-Cola Company (The),pass,25.990566,10.574463,other,yfinance
CTSH,Cognizant,pass,8.403471,1.2186606,other,yfinance
COHR,Coherent Corp.,pass,181.96278,7.16507,other,yfinance
COIN,Coinbase,pass,54.945652,2.9632452,other,yfinance
CL,Colgate-Palmolive,pass,35.67568,510.49725,other,yfinance
CMCSA,Comcast,pass,4.7490196,0.98140115,other,yfinance
FIX,Comfort Systems USA,pass,53.476673,106.16671,other,yfinance
CAG,Conagra Brands,borderline,,0.81926864,other,yfinance
COP,ConocoPhillips,pass,17.965517,1.9668912,other,yfinance
ED,Consolidated Edison,pass,18.935919,1.6144291,other,yfinance
STZ,Constellation Brands,pass,15.213508,2.9854002,other,yfinance
CEG,Constellation Energy,pass,22.529974,2.8064024,energy,yfinance
COO,Cooper Companies (The),pass,60.500004,1.6888248,other,yfinance
CPRT,Copart,pass,17.453417,2.9650733,other,yfinance
GLW,Corning Inc.,pass,122.92789,19.633726,other,yfinance
CPAY,Corpay,pass,19.925133,6.31811,other,yfinance
CTVA,Corteva,pass,44.58289,2.2929673,other,yfinance
CSGP,CoStar Group,pass,418.85715,1.5084631,other,yfinance
COST,Costco,pass,47.836277,25.39514,other,yfinance
CRH,CRH plc,pass,20.198517,3.1534586,other,yfinance
CRWD,CrowdStrike,pass,,40.808018,other,yfinance
CCI,Crown Castle,pass,34.792034,-17.854223,other,yfinance
CSX,CSX Corporation,pass,29.453987,6.5704117,other,yfinance
CMI,Cummins,pass,35.863518,7.721072,other,yfinance
DHR,Danaher Corporation,pass,37.360466,2.5766525,other,yfinance
DRI,Darden Restaurants,pass,19.68421,10.650857,other,yfinance
DDOG,Datadog,pass,621.425,22.17791,other,yfinance
DVA,DaVita,pass,21.186113,-19.246605,other,yfinance
DECK,Deckers Brands,pass,14.42735,5.6717253,other,yfinance
DE,Deere & Company,pass,34.716347,6.172053,other,yfinance
DELL,Dell Technologies,pass,33.062996,-191.68283,other,yfinance
DAL,Delta Air Lines,pass,13.522496,2.987846,other,yfinance
DVN,Devon Energy,pass,11.761906,1.6901466,energy,yfinance
DXCM,Dexcom,pass,30.163795,9.133386,other,yfinance
FANG,Diamondback Energy,pass,186.1237,1.3924861,energy,yfinance
DLR,Digital Realty,pass,50.686172,2.937559,other,yfinance
DG,Dollar General,pass,16.622347,2.9314044,other,yfinance
DLTR,Dollar Tree,pass,19.682184,6.7618837,other,yfinance
D,Dominion Energy,pass,20.40708,2.1597152,energy,yfinance
DPZ,Domino's,pass,16.918873,-2.5216749,other,yfinance
DASH,DoorDash,pass,86.76995,7.900992,other,yfinance
DOV,Dover Corporation,pass,28.0,4.0273285,other,yfinance
DHI,D. R. Horton,pass,15.435149,1.9807031,other,yfinance
DTE,DTE Energy,pass,25.332237,2.6000643,energy,yfinance
DUK,Duke Energy,pass,19.71275,1.8667268,energy,yfinance
DD,DuPont,pass,119.07018,1.3208649,other,yfinance
ETN,Eaton Corporation,pass,39.908115,8.038513,other,yfinance
EBAY,eBay Inc.,pass,24.954956,11.200971,other,yfinance
ECHO,EchoStar,borderline,,,other,yfinance
ECL,Ecolab,pass,37.75068,7.8377314,other,yfinance
EIX,Edison International,pass,8.220043,1.684563,other,yfinance
EW,Edwards Lifesciences,pass,49.286488,5.094139,other,yfinance
EA,Electronic Arts,pass,58.418804,7.600356,other,yfinance
ELV,Elevance Health,borderline,16.747087,1.9212259,other,yfinance
EME,Emcor,pass,26.80744,9.360389,other,yfinance
EMR,Emerson Electric,pass,33.136894,3.939971,utility,yfinance
ETR,Entergy,pass,29.67602,3.0702844,other,yfinance
EOG,EOG Resources,pass,12.972467,2.283,other,yfinance
EQT,EQT Corporation,pass,9.867172,1.294853,other,yfinance
EFX,Equifax,pass,27.966492,4.166207,other,yfinance
EQIX,Equinix,pass,75.202354,7.4851704,other,yfinance
EQR,Equity Residential,pass,27.335999,2.403376,other,yfinance
ERIE,Erie Indemnity,pass,21.910517,5.2769446,other,yfinance
ESS,Essex Property Trust,pass,33.21324,3.5012183,property,yfinance
EL,Estée Lauder Companies (The),pass,,7.191266,other,yfinance
EG,Everest Group,pass,7.2404175,0.939078,other,yfinance
EVRG,Evergy,pass,23.202667,1.9747623,other,yfinance
ES,Eversource Energy,pass,15.796573,1.6778111,energy,yfinance
EXC,Exelon,pass,17.334558,1.6457243,other,yfinance
EXE,Expand Energy,pass,6.5770097,1.0752583,energy,yfinance
EXPE,Expedia Group,pass,23.209099,55.266663,other,yfinance
EXPD,Expeditors International,pass,26.166397,9.360805,other,yfinance
EXR,Extra Space Storage,pass,33.542984,2.3485615,other,yfinance
XOM,ExxonMobil,pass,22.905724,2.1920764,other,yfinance
FFIV,"F5, Inc.",pass,33.680065,6.3844743,other,yfinance
FDS,FactSet,pass,15.033462,4.0204444,other,yfinance
FICO,Fair Isaac,pass,37.31052,-13.051796,other,yfinance
FAST,Fastenal,pass,41.57895,13.640288,other,yfinance
FRT,Federal Realty Investment Trust,pass,21.698961,3.4381425,other,yfinance
FDX,FedEx,borderline,17.009932,2.478011,other,yfinance
FDXF,FedEx Freight,pass,33.79007,0.001563832,other,yfinance
FIS,Fidelity National Information Services,pass,7.498062,1.251982,other,yfinance
FITB,Fifth Third Bancorp,borderline,18.989965,1.6111001,other,yfinance
FSLR,First Solar,pass,15.427436,2.5322516,other,yfinance
