code,name,verdict,pe,pb,industry,source
BAC,Bank of America,pass,14.138957,1.4737222,financial,yfinance
BAX,Baxter International,pass,,1.8220664,other,yfinance
BDX,Becton Dickinson,pass,26.410122,1.7278271,other,yfinance
BRK.B,Berkshire Hathaway,pass,,,other,yfinance
BBY,Best Buy,pass,14.051851,5.1858935,other,yfinance
TECH,Bio-Techne,pass,100.92857,5.47632,other,yfinance
BIIB,Biogen,pass,23.257265,1.7097819,other,yfinance
BLK,BlackRock,pass,24.208458,2.6353495,other,yfinance
BX,Blackstone Inc.,pass,30.249355,11.041569,other,yfinance
XYZ,"Block, Inc.",pass,59.375,2.0607934,other,yfinance
BNY,BNY Mellon,pass,17.919455,2.5159192,other,yfinance
BA,Boeing,pass,85.561264,28.516665,other,yfinance
BKNG,Booking Holdings,pass,23.483532,-15.935628,other,yfinance
BSX,Boston Scientific,pass,17.85774,2.4525917,other,yfinance
BMY,Bristol Myers Squibb,pass,16.140057,5.8628407,other,yfinance
AVGO,Broadcom,pass,62.958332,20.496473,other,yfinance
BR,Broadridge Financial Solutions,pass,14.647058,5.6212287,financial,yfinance
BRO,Brown & Brown,pass,20.895767,1.7070706,other,yfinance
BF.B,Brown–Forman,pass,,,other,yfinance
BLDR,Builders FirstSource,borderline,34.152676,2.4026637,other,yfinance
BXP,"BXP, Inc.",pass,33.321606,2.0422554,other,yfinance
CHRW,C.H. Robinson,pass,38.20284,13.05831,other,yfinance
CDNS,Cadence Design Systems,pass,87.48718,15.7770405,other,yfinance
CPT,Camden Property Trust,pass,31.980448,2.9546568,property,yfinance
COF,Capital One,borderline,61.539875,1.1562779,other,yfinance
CAH,Cardinal Health,borderline,36.324158,-19.712887,other,yfinance
CCL,Carnival Corporation,pass,12.8693695,3.0226407,other,yfinance
CARR,Carrier Global,pass,48.899998,4.5333743,other,yfinance
CVNA,Carvana,pass,38.04624,12.6503935,other,yfinance
CASY,Casey's,borderline,41.41688,7.4223943,other,yfinance
CAT,Caterpillar Inc.,pass,53.13872,26.286688,other,yfinance
CBOE,Cboe Global Markets,pass,20.723312,4.7270923,other,yfinance
CBRE,CBRE Group,borderline,30.75114,4.629477,other,yfinance
CDW,CDW Corporation,pass,17.13033,7.04468,other,yfinance
COR,Cencora,pass,21.700922,16.204548,other,yfinance
CNP,CenterPoint Energy,pass,27.018406,2.5162838,energy,yfinance
CF,CF Industries,pass,9.753153,3.1130664,other,yfinance
CRL,Charles River Laboratories,pass,,3.714824,other,yfinance
SCHW,Charles Schwab Corporation,pass,18.343935,3.7761407,other,yfinance
CHTR,Charter Communications,pass,3.8466325,1.0674183,other,yfinance
