trade_date,open,high,low,close,volume
2024-07-25,19260.0,19390.5,18883.25,18992.25,992015
2024-07-26,19003.0,19297.75,18995.0,19174.5,694702
2024-07-29,19171.75,19377.25,19113.25,19209.25,600017
2024-07-30,19217.0,19319.75,18725.0,18936.25,745002
2024-07-31,18865.75,19648.0,18861.75,19505.25,762246
2024-08-01,19593.25,19717.0,18854.0,19023.25,920616
2024-08-02,18956.5,18979.75,18385.75,18556.25,842228
2024-08-05,18390.0,18390.0,17351.0,18013.25,937137
2024-08-06,18165.75,18483.25,17966.0,18179.0,697089
2024-08-07,18033.0,18558.5,17836.25,17966.5,725244
2024-08-08,17873.0,18593.5,17741.75,18525.25,663957
2024-08-09,18550.25,18674.5,18383.0,18616.0,501761
2024-08-12,18590.0,18765.25,18515.0,18639.5,469892
2024-08-13,18648.25,19122.5,18628.5,19104.25,497670
2024-08-14,19099.25,19203.5,18925.5,19115.0,553997
2024-08-15,19142.5,19603.25,19100.5,19581.25,522322
2024-08-16,19570.25,19683.0,19447.5,19605.75,458933
2024-08-19,19629.0,19871.75,19525.25,19857.75,429305
2024-08-20,19857.75,19931.0,19743.0,19809.5,485435
2024-08-21,19803.0,19981.75,19771.5,19909.5,479077
2024-08-22,19921.25,20025.25,19542.0,19578.25,630179
2024-08-23,19621.5,19904.25,19591.75,19790.75,581201
2024-08-26,19787.75,19846.25,19505.5,19591.25,473540
2024-08-27,19558.75,19694.25,19441.5,19653.75,441146
2024-08-28,19635.5,19691.0,19227.25,19415.75,537278
2024-08-29,19217.0,19693.5,19140.25,19393.25,669705
2024-08-30,19445.75,19632.75,19370.5,19623.0,495609
2024-09-03,19599.0,19683.0,18911.0,19006.5,698442
2024-09-04,18993.75,19114.75,18825.75,18962.5,582116
2024-09-05,18965.75,19150.5,18827.25,18963.5,585125
2024-09-06,18921.0,18972.25,18339.75,18458.25,726350
2024-09-09,18400.0,18734.5,18386.0,18692.25,726350
2024-09-10,18727.0,18878.5,18582.25,18864.0,536220
2024-09-11,18837.75,19293.5,18547.0,19271.0,729344
2024-09-12,19241.5,19483.5,19185.0,19447.25,581032
2024-09-13,19419.5,19577.25,19398.25,19530.25,467948
2024-09-16,19498.0,19546.5,19299.25,19433.0,339781
2024-09-17,19426.5,19615.5,19341.0,19439.25,254059
2024-09-18,19451.0,19660.0,19331.0,19349.25,138848
2024-09-19,19420.5,19966.25,19408.75,19850.25,134917
