code,name,ts_code
ERIE,Erie Indemnity,ERIE.US
ESS,Essex Property Trust,ESS.US
EL,Estée Lauder Companies (The),EL.US
EG,Everest Group,EG.US
EVRG,Evergy,EVRG.US
ES,Eversource Energy,ES.US
EXC,Exelon,EXC.US
EXE,Expand Energy,EXE.US
EXPE,Expedia Group,EXPE.US
EXPD,Expeditors International,EXPD.US
EXR,Extra Space Storage,EXR.US
XOM,ExxonMobil,XOM.US
FFIV,"F5, Inc.",FFIV.US
FDS,FactSet,FDS.US
FICO,Fair Isaac,FICO.US
FAST,Fastenal,FAST.US
FRT,Federal Realty Investment Trust,FRT.US
FDX,FedEx,FDX.US
FIS,Fidelity National Information Services,FIS.US
FITB,Fifth Third Bancorp,FITB.US
FSLR,First Solar,FSLR.US
FE,FirstEnergy,FE.US
FISV,Fiserv,FISV.US
F,Ford Motor Company,F.US
FTNT,Fortinet,FTNT.US
FTV,Fortive,FTV.US
FOXA,Fox Corporation (Class A),FOXA.US
FOX,Fox Corporation (Class B),FOX.US
BEN,Franklin Resources,BEN.US
FCX,Freeport-McMoRan,FCX.US
GRMN,Garmin,GRMN.US
IT,Gartner,IT.US
GE,GE Aerospace,GE.US
GEHC,GE HealthCare,GEHC.US
GEV,GE Vernova,GEV.US
GEN,Gen Digital,GEN.US
GNRC,Generac,GNRC.US
GD,General Dynamics,GD.US
GIS,General Mills,GIS.US
GM,General Motors,GM.US
GPC,Genuine Parts Company,GPC.US
GILD,Gilead Sciences,GILD.US
GPN,Global Payments,GPN.US
GL,Globe Life,GL.US
GDDY,GoDaddy,GDDY.US
GS,Goldman Sachs,GS.US
HAL,Halliburton,HAL.US
HIG,Hartford (The),HIG.US
HAS,Hasbro,HAS.US
HCA,HCA Healthcare,HCA.US
DOC,Healthpeak Properties,DOC.US
HSIC,Henry Schein,HSIC.US
HSY,Hershey Company (The),HSY.US
HPE,Hewlett Packard Enterprise,HPE.US
HLT,Hilton Worldwide,HLT.US
HD,Home Depot (The),HD.US
HON,Honeywell,HON.US
HRL,Hormel Foods,HRL.US
HST,Host Hotels & Resorts,HST.US
HWM,Howmet Aerospace,HWM.US
HPQ,HP Inc.,HPQ.US
HUBB,Hubbell Incorporated,HUBB.US
HUM,Humana,HUM.US
HBAN,Huntington Bancshares,HBAN.US
HII,Huntington Ingalls Industries,HII.US
IBM,IBM,IBM.US
IEX,IDEX Corporation,IEX.US
IDXX,Idexx Laboratories,IDXX.US
ITW,Illinois Tool Works,ITW.US
INCY,Incyte,INCY.US
IR,Ingersoll Rand,IR.US
PODD,Insulet Corporation,PODD.US
INTC,Intel,INTC.US
IBKR,Interactive Brokers,IBKR.US
ICE,Intercontinental Exchange,ICE.US
IFF,International Flavors & Fragrances,IFF.US
IP,International Paper,IP.US
INTU,Intuit,INTU.US
ISRG,Intuitive Surgical,ISRG.US
IVZ,Invesco,IVZ.US
INVH,Invitation Homes,INVH.US
IQV,IQVIA,IQV.US
IRM,Iron Mountain,IRM.US
JBHT,J.B. Hunt,JBHT.US
JBL,Jabil,JBL.US
JKHY,Jack Henry & Associates,JKHY.US
J,Jacobs Solutions,J.US
JNJ,Johnson & Johnson,JNJ.US
JCI,Johnson Controls,JCI.US
JPM,JPMorgan Chase,JPM.US
KVUE,Kenvue,KVUE.US
KDP,Keurig Dr Pepper,KDP.US
KEY,KeyCorp,KEY.US
KEYS,Keysight Technologies,KEYS.US
KMB,Kimberly-Clark,KMB.US
KIM,Kimco Realty,KIM.US
KMI,Kinder Morgan,KMI.US
KKR,KKR & Co.,KKR.US
KLAC,KLA Corporation,KLAC.US
KHC,Kraft Heinz,KHC.US
KR,Kroger,KR.US
LHX,L3Harris,LHX.US
LH,Labcorp,LH.US
LRCX,Lam Research,LRCX.US
LVS,Las Vegas Sands,LVS.US
LDOS,Leidos,LDOS.US
LEN,Lennar,LEN.US
LII,Lennox International,LII.US
LLY,Lilly (Eli),LLY.US
LIN,Linde plc,LIN.US
LYV,Live Nation Entertainment,LYV.US
LMT,Lockheed Martin,LMT.US
L,Loews Corporation,L.US
LOW,Lowe's,LOW.US
LULU,Lululemon Athletica,LULU.US
LITE,Lumentum,LITE.US
LYB,LyondellBasell,LYB.US
MTB,M&T Bank,MTB.US
MPC,Marathon Petroleum,MPC.US
MAR,Marriott International,MAR.US
MRSH,Marsh McLennan,MRSH.US
MLM,Martin Marietta Materials,MLM.US
MAS,Masco,MAS.US
MA,Mastercard,MA.US
MKC,McCormick & Company,MKC.US
MCD,McDonald's,MCD.US
MCK,McKesson Corporation,MCK.US
MDT,Medtronic,MDT.US
MRK,Merck & Co.,MRK.US
META,Meta Platforms,META.US
MET,MetLife,MET.US
MTD,Mettler Toledo,MTD.US
MGM,MGM Resorts,MGM.US
MCHP,Microchip Technology,MCHP.US
MU,Micron Technology,MU.US
MSFT,Microsoft,MSFT.US
MAA,Mid-America Apartment Communities,MAA.US
MRNA,Moderna,MRNA.US
TAP,Molson Coors Beverage Company,TAP.US
MDLZ,Mondelez International,MDLZ.US
MPWR,Monolithic Power Systems,MPWR.US
MNST,Monster Beverage,MNST.US
MCO,Moody's Corporation,MCO.US
MS,Morgan Stanley,MS.US
MOS,Mosaic Company (The),MOS.US
MSI,Motorola Solutions,MSI.US
MSCI,MSCI Inc.,MSCI.US
NDAQ,"Nasdaq, Inc.",NDAQ.US
NTAP,NetApp,NTAP.US
NFLX,Netflix,NFLX.US
NEM,Newmont,NEM.US
NWSA,News Corp (Class A),NWSA.US
NWS,News Corp (Class B),NWS.US
NEE,NextEra Energy,NEE.US
NKE,"Nike, Inc.",NKE.US
NI,NiSource,NI.US
NDSN,Nordson Corporation,NDSN.US
NSC,Norfolk Southern,NSC.US
NTRS,Northern Trust,NTRS.US
NOC,Northrop Grumman,NOC.US
NCLH,Norwegian Cruise Line Holdings,NCLH.US
NRG,NRG Energy,NRG.US
NUE,Nucor,NUE.US
NVDA,Nvidia,NVDA.US
NVR,"NVR, Inc.",NVR.US
NXPI,NXP Semiconductors,NXPI.US
ORLY,O’Reilly Automotive,ORLY.US
OXY,Occidental Petroleum,OXY.US
ODFL,Old Dominion,ODFL.US
OMC,Omnicom Group,OMC.US
ON,ON Semiconductor,ON.US
OKE,Oneok,OKE.US
ORCL,Oracle Corporation,ORCL.US
OTIS,Otis Worldwide,OTIS.US
PCAR,Paccar,PCAR.US
PKG,Packaging Corporation of America,PKG.US
PLTR,Palantir Technologies,PLTR.US
PANW,Palo Alto Networks,PANW.US
PSKY,Paramount Skydance Corporation,PSKY.US
PH,Parker Hannifin,PH.US
PAYX,Paychex,PAYX.US
PYPL,PayPal,PYPL.US
PNR,Pentair,PNR.US
PEP,PepsiCo,PEP.US
PFE,Pfizer,PFE.US
PCG,PG&E Corporation,PCG.US
PM,Philip Morris International,PM.US
PSX,Phillips 66,PSX.US
PNW,Pinnacle West Capital,PNW.US
PNC,PNC Financial Services,PNC.US
POOL,Pool Corporation,POOL.US
PPG,PPG Industries,PPG.US
PPL,PPL Corporation,PPL.US
PFG,Principal Financial Group,PFG.US
PG,Procter & Gamble,PG.US
PGR,Progressive Corporation,PGR.US
PLD,Prologis,PLD.US
PRU,Prudential Financial,PRU.US
PEG,Public Service Enterprise Group,PEG.US
PTC,PTC Inc.,PTC.US
PSA,Public Storage,PSA.US
PHM,PulteGroup,PHM.US
PWR,Quanta Services,PWR.US
QCOM,Qualcomm,QCOM.US
DGX,Quest Diagnostics,DGX.US
Q,Qnity Electronics,Q.US
RL,Ralph Lauren Corporation,RL.US
RJF,Raymond James Financial,RJF.US
RTX,RTX Corporation,RTX.US
O,Realty Income,O.US
REG,Regency Centers,REG.US
REGN,Regeneron Pharmaceuticals,REGN.US
RF,Regions Financial Corporation,RF.US
RSG,Republic Services,RSG.US
RMD,ResMed,RMD.US
RVTY,Revvity,RVTY.US
HOOD,Robinhood Markets,HOOD.US
ROK,Rockwell Automation,ROK.US
ROL,"Rollins, Inc.",ROL.US
ROP,Roper Technologies,ROP.US
ROST,Ross Stores,ROST.US
RCL,Royal Caribbean Group,RCL.US
SPGI,S&P Global,SPGI.US
CRM,Salesforce,CRM.US
SNDK,Sandisk,SNDK.US
SBAC,SBA Communications,SBAC.US
SLB,Schlumberger,SLB.US
STX,Seagate Technology,STX.US
SRE,Sempra,SRE.US
NOW,ServiceNow,NOW.US
SHW,Sherwin-Williams,SHW.US
SPG,Simon Property Group,SPG.US
SWKS,Skyworks Solutions,SWKS.US
SJM,J.M. Smucker Company (The),SJM.US
SW,Smurfit Westrock,SW.US
SNA,Snap-on,SNA.US
SOLV,Solventum,SOLV.US
SO,Southern Company,SO.US
LUV,Southwest Airlines,LUV.US
SWK,Stanley Black & Decker,SWK.US
SBUX,Starbucks,SBUX.US
STT,State Street Corporation,STT.US
STLD,Steel Dynamics,STLD.US
STE,Steris,STE.US
SYK,Stryker Corporation,SYK.US
SMCI,Supermicro,SMCI.US
SYF,Synchrony Financial,SYF.US
SNPS,Synopsys,SNPS.US
SYY,Sysco,SYY.US
TMUS,T-Mobile US,TMUS.US
TROW,T. Rowe Price,TROW.US
TTWO,Take-Two Interactive,TTWO.US
TPR,"Tapestry, Inc.",TPR.US
TRGP,Targa Resources,TRGP.US
TGT,Target Corporation,TGT.US
TEL,TE Connectivity,TEL.US
TDY,Teledyne Technologies,TDY.US
TER,Teradyne,TER.US
TSLA,"Tesla, Inc.",TSLA.US
TXN,Texas Instruments,TXN.US
TPL,Texas Pacific Land Corporation,TPL.US
TXT,Textron,TXT.US
TMO,Thermo Fisher Scientific,TMO.US
TJX,TJX Companies,TJX.US
TKO,TKO Group Holdings,TKO.US
TTD,Trade Desk (The),TTD.US
TSCO,Tractor Supply,TSCO.US
TT,Trane Technologies,TT.US
TDG,TransDigm Group,TDG.US
TRV,Travelers Companies (The),TRV.US
TRMB,Trimble Inc.,TRMB.US
TFC,Truist Financial,TFC.US
TYL,Tyler Technologies,TYL.US
TSN,Tyson Foods,TSN.US
USB,U.S. Bancorp,USB.US
UBER,Uber,UBER.US
UDR,"UDR, Inc.",UDR.US
ULTA,Ulta Beauty,ULTA.US
UNP,Union Pacific Corporation,UNP.US
UAL,United Airlines Holdings,UAL.US
UPS,United Parcel Service,UPS.US
URI,United Rentals,URI.US
UNH,UnitedHealth Group,UNH.US
UHS,Universal Health Services,UHS.US
VLO,Valero Energy,VLO.US
VTR,Ventas,VTR.US
VLTO,Veralto,VLTO.US
VRSN,Verisign,VRSN.US
VRSK,Verisk Analytics,VRSK.US
VZ,Verizon,VZ.US
VRTX,Vertex Pharmaceuticals,VRTX.US
VRT,Vertiv,VRT.US
VTRS,Viatris,VTRS.US
VICI,Vici Properties,VICI.US
V,Visa Inc.,V.US
VST,Vistra Corp.,VST.US
VMC,Vulcan Materials Company,VMC.US
WRB,W. R. Berkley Corporation,WRB.US
GWW,W. W. Grainger,GWW.US
WAB,Wabtec,WAB.US
WMT,Walmart,WMT.US
DIS,Walt Disney Company (The),DIS.US
WBD,Warner Bros. Discovery,WBD.US
WM,Waste Management,WM.US
WAT,Waters Corporation,WAT.US
WEC,WEC Energy Group,WEC.US
WFC,Wells Fargo,WFC.US
WELL,Welltower,WELL.US
WST,West Pharmaceutical Services,WST.US
WDC,Western Digital,WDC.US
WY,Weyerhaeuser,WY.US
WSM,"Williams-Sonoma, Inc.",WSM.US
WMB,Williams Companies,WMB.US
WTW,Willis Towers Watson,WTW.US
WDAY,"Workday, Inc.",WDAY.US
WYNN,Wynn Resorts,WYNN.US
XEL,Xcel Energy,XEL.US
XYL,Xylem Inc.,XYL.US
YUM,Yum! Brands,YUM.US
ZBRA,Zebra Technologies,ZBRA.US
ZBH,Zimmer Biomet,ZBH.US
ZTS,Zoetis,ZTS.US
