ts_code,code,name,total_market_val
DUK.US,DUK,Duke Energy,0
DD.US,DD,DuPont,0
ETN.US,ETN,Eaton Corporation,0
EBAY.US,EBAY,eBay Inc.,0
SATS.US,SATS,EchoStar,0
ECL.US,ECL,Ecolab,0
EIX.US,EIX,Edison International,0
EW.US,EW,Edwards Lifesciences,0
EA.US,EA,Electronic Arts,0
ELV.US,ELV,Elevance Health,0
EME.US,EME,Emcor,0
EMR.US,EMR,Emerson Electric,0
ETR.US,ETR,Entergy,0
EOG.US,EOG,EOG Resources,0
EPAM.US,EPAM,EPAM Systems,0
EQT.US,EQT,EQT Corporation,0
EFX.US,EFX,Equifax,0
EQIX.US,EQIX,Equinix,0
EQR.US,EQR,Equity Residential,0
ERIE.US,ERIE,Erie Indemnity,0
ESS.US,ESS,Essex Property Trust,0
EL.US,EL,Estée Lauder Companies (The),0
EG.US,EG,Everest Group,0
EVRG.US,EVRG,Evergy,0
ES.US,ES,Eversource Energy,0
EXC.US,EXC,Exelon,0
EXE.US,EXE,Expand Energy,0
EXPE.US,EXPE,Expedia Group,0
EXPD.US,EXPD,Expeditors International,0
EXR.US,EXR,Extra Space Storage,0
XOM.US,XOM,ExxonMobil,0
FFIV.US,FFIV,"F5, Inc.",0
FDS.US,FDS,FactSet,0
FICO.US,FICO,Fair Isaac,0
FAST.US,FAST,Fastenal,0
FRT.US,FRT,Federal Realty Investment Trust,0
FDX.US,FDX,FedEx,0
FIS.US,FIS,Fidelity National Information Services,0
FITB.US,FITB,Fifth Third Bancorp,0
FSLR.US,FSLR,First Solar,0
FE.US,FE,FirstEnergy,0
FISV.US,FISV,Fiserv,0
F.US,F,Ford Motor Company,0
FTNT.US,FTNT,Fortinet,0
FTV.US,FTV,Fortive,0
FOXA.US,FOXA,Fox Corporation (Class A),0
FOX.US,FOX,Fox Corporation (Class B),0
BEN.US,BEN,Franklin Resources,0
FCX.US,FCX,Freeport-McMoRan,0
GRMN.US,GRMN,Garmin,0
IT.US,IT,Gartner,0
GE.US,GE,GE Aerospace,0
GEHC.US,GEHC,GE HealthCare,0
GEV.US,GEV,GE Vernova,0
GEN.US,GEN,Gen Digital,0
GNRC.US,GNRC,Generac,0
GD.US,GD,General Dynamics,0
GIS.US,GIS,General Mills,0
GM.US,GM,General Motors,0
GPC.US,GPC,Genuine Parts Company,0
GILD.US,GILD,Gilead Sciences,0
GPN.US,GPN,Global Payments,0
GL.US,GL,Globe Life,0
GDDY.US,GDDY,GoDaddy,0
GS.US,GS,Goldman Sachs,0
HAL.US,HAL,Halliburton,0
HIG.US,HIG,Hartford (The),0
HAS.US,HAS,Hasbro,0
HCA.US,HCA,HCA Healthcare,0
DOC.US,DOC,Healthpeak Properties,0
HSIC.US,HSIC,Henry Schein,0
HSY.US,HSY,Hershey Company (The),0
HPE.US,HPE,Hewlett Packard Enterprise,0
HLT.US,HLT,Hilton Worldwide,0
HD.US,HD,Home Depot (The),0
HON.US,HON,Honeywell,0
HRL.US,HRL,Hormel Foods,0
HST.US,HST,Host Hotels & Resorts,0
HWM.US,HWM,Howmet Aerospace,0
HPQ.US,HPQ,HP Inc.,0
HUBB.US,HUBB,Hubbell Incorporated,0
HUM.US,HUM,Humana,0
HBAN.US,HBAN,Huntington Bancshares,0
HII.US,HII,Huntington Ingalls Industries,0
IBM.US,IBM,IBM,0
IEX.US,IEX,IDEX Corporation,0
IDXX.US,IDXX,Idexx Laboratories,0
ITW.US,ITW,Illinois Tool Works,0
INCY.US,INCY,Incyte,0
IR.US,IR,Ingersoll Rand,0
PODD.US,PODD,Insulet Corporation,0
INTC.US,INTC,Intel,0
IBKR.US,IBKR,Interactive Brokers,0
ICE.US,ICE,Intercontinental Exchange,0
IFF.US,IFF,International Flavors & Fragrances,0
IP.US,IP,International Paper,0
INTU.US,INTU,Intuit,0
ISRG.US,ISRG,Intuitive Surgical,0
IVZ.US,IVZ,Invesco,0
INVH.US,INVH,Invitation Homes,0
IQV.US,IQV,IQVIA,0
IRM.US,IRM,Iron Mountain,0
JBHT.US,JBHT,J.B. Hunt,0
JBL.US,JBL,Jabil,0
JKHY.US,JKHY,Jack Henry & Associates,0
J.US,J,Jacobs Solutions,0
JNJ.US,JNJ,Johnson & Johnson,0
JCI.US,JCI,Johnson Controls,0
JPM.US,JPM,JPMorgan Chase,0
KVUE.US,KVUE,Kenvue,0
KDP.US,KDP,Keurig Dr Pepper,0
KEY.US,KEY,KeyCorp,0
KEYS.US,KEYS,Keysight Technologies,0
KMB.US,KMB,Kimberly-Clark,0
KIM.US,KIM,Kimco Realty,0
KMI.US,KMI,Kinder Morgan,0
KKR.US,KKR,KKR & Co.,0
KLAC.US,KLAC,KLA Corporation,0
KHC.US,KHC,Kraft Heinz,0
KR.US,KR,Kroger,0
LHX.US,LHX,L3Harris,0
LH.US,LH,Labcorp,0
LRCX.US,LRCX,Lam Research,0
LVS.US,LVS,Las Vegas Sands,0
LDOS.US,LDOS,Leidos,0
LEN.US,LEN,Lennar,0
LII.US,LII,Lennox International,0
LLY.US,LLY,Lilly (Eli),0
